iter	RMSE
0	0.332872549
1	0.316030356
2	0.3018133782
3	0.2880920909
4	0.2765779111
5	0.2658577171
6	0.2560076754
7	0.2470102186
8	0.2388572767
9	0.2322264126
10	0.2257663938
11	0.2198255417
12	0.2149655471
13	0.2104093915
14	0.2059191375
15	0.2018337642
16	0.198098887
17	0.1949353326
18	0.1919167014
19	0.1890582472
20	0.186357719
21	0.1838831396
22	0.1817365484
23	0.1794946548
24	0.1772426035
25	0.1753687395
26	0.1736291837
27	0.1719165009
28	0.1704598814
29	0.168787639
30	0.1674505765
31	0.1662187419
32	0.1648529617
33	0.1636269295
34	0.1625216061
35	0.1614881843
36	0.1604020289
37	0.1594537685
38	0.1582611777
39	0.1574171913
40	0.1567808021
41	0.1556971687
42	0.1550606141
43	0.154356727
44	0.1539776116
45	0.1529439052
46	0.1522153006
47	0.1514725304
48	0.1507558943
49	0.1503556298
50	0.1500507403
51	0.1494670519
52	0.1489142718
53	0.1484478316
54	0.1478343174
55	0.1471804242
56	0.1464400608
57	0.1462391792
58	0.145616262
59	0.1446351383
60	0.1440151157
61	0.1434220857
62	0.1430344154
63	0.1425513526
64	0.1422652781
65	0.1419347825
66	0.1417523576
67	0.1413887578
68	0.1410742522
69	0.1407776825
70	0.1403474375
71	0.1400027799
72	0.1395836326
73	0.1391067493
74	0.138554959
75	0.1380774797
76	0.1377611564
77	0.1372691678
78	0.1369613808
79	0.1364795003
80	0.1362029088
81	0.1359300216
82	0.1357846797
83	0.1353676315
84	0.1347371552
85	0.1344544473
86	0.1340647523
87	0.1334859878
88	0.1331779666
89	0.1329741416
90	0.1324455036
91	0.1318087971
92	0.1315569732
93	0.1313465235
94	0.1310685251
95	0.1307883193
96	0.1307831887
97	0.1306368157
98	0.1303284522
99	0.1302529258
100	0.1299397755
101	0.1298655274
102	0.1295709509
103	0.1292504927
104	0.128872725
105	0.1286925052
106	0.1279866818
107	0.1275752395
108	0.1272798835
109	0.1270304944
110	0.126546275
111	0.1262428075
112	0.1261747615
113	0.1258443411
114	0.1254096496
115	0.1253461544
116	0.125274291
117	0.1252165988
118	0.1250807251
119	0.1250241967
120	0.124755605
121	0.1243230908
122	0.1239700112
123	0.1237503424
124	0.1234875414
125	0.1232654693
126	0.1228483069
127	0.1225821264
128	0.1223048083
129	0.1218918848
130	0.121695086
131	0.1212712522
132	0.1209835555
133	0.1207082153
134	0.1207048028
135	0.1203674711
136	0.1200861615
137	0.1200095978
138	0.1195943196
139	0.1191316428
140	0.1189340281
141	0.1185625355
142	0.1182460494
143	0.1180084042
144	0.1175438048
145	0.1172407806
146	0.1172015562
147	0.1171703206
148	0.1167899213
149	0.1164317476
150	0.1162538155
151	0.1157403154
152	0.1154758114
153	0.1151197364
154	0.1149490705
155	0.114822365
156	0.1145514013
157	0.1141647536
158	0.1138603721
159	0.1134456916
160	0.1131480935
161	0.1127940659
162	0.1126108601
163	0.1122500677
164	0.1122312997
165	0.1119196229
166	0.1117473207
167	0.1113479014
168	0.1113440237
169	0.1111990333
170	0.1110151613
171	0.1109331517
172	0.1106895789
173	0.1103785532
174	0.1099731127
175	0.1098137875
176	0.1096055357
177	0.109518175
178	0.109510319
179	0.1091583295
180	0.1089548361
181	0.1087685902
182	0.1084401802
183	0.1082338756
184	0.10792981
185	0.107925773
186	0.1078444607
187	0.1076143078
188	0.1074018841
189	0.1071435984
190	0.1067037745
191	0.1061964262
192	0.1058392439
193	0.1056173325
194	0.1055019205
195	0.1052570226
196	0.1049359759
197	0.1045625028
198	0.1042104537
199	0.1038453419
200	0.1036751544
201	0.1036661544
202	0.103418822
203	0.1034134034
204	0.1032068981
205	0.1028536813
206	0.1028516313
207	0.1025667153
208	0.1023127862
209	0.1023106995
210	0.102140575
211	0.102137102
212	0.1019014243
213	0.1017219841
214	0.1015674339
215	0.1011738012
216	0.1009685861
217	0.1006677098
218	0.1004939842
219	0.100169256
220	0.09974881365
221	0.0994425926
222	0.09922513911
223	0.09913130236
224	0.09885772019
225	0.0988143817
226	0.0987130846
227	0.09851784811
228	0.09832538545
229	0.09826464899
230	0.09791173706
231	0.09769719199
232	0.09740924134
233	0.09731983019
234	0.09717234895
235	0.09693976799
236	0.09676520787
237	0.09633825642
238	0.09596726426
239	0.09575612121
240	0.09562719301
241	0.09534661634
242	0.0951477651
243	0.0949127353
244	0.094844856
245	0.09481058146
246	0.09467486382
247	0.09437040815
248	0.09427766495
249	0.0940102617
250	0.09389591251
251	0.09365143512
252	0.09353293948
253	0.09331401431
254	0.09317666647
255	0.09311118016
256	0.09282853356
257	0.09259284341
258	0.09215734694
259	0.09210914515
260	0.09201888755
261	0.09179772299
262	0.0915789083
263	0.09153080455
264	0.0912716654
265	0.0910241769
266	0.09097576273
267	0.0908467793
268	0.09061908873
269	0.09022870407
270	0.09009013077
271	0.08980980425
272	0.08962291603
273	0.08930717891
274	0.08900004215
275	0.08887552565
276	0.08882482932
277	0.08844125863
278	0.08822411846
279	0.0881563366
280	0.08800064312
281	0.08790599459
282	0.08765630195
283	0.08746099821
284	0.08727908929
285	0.08712358464
286	0.08682372634
287	0.0864871726
288	0.08631538523
289	0.0860925215
290	0.08585353256
291	0.08569437877
292	0.0855466447
293	0.08520699836
294	0.08513201254
295	0.08493567578
296	0.08477148484
297	0.08477042795
298	0.08476943529
299	0.08457953884
